бумага рф-серв	[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
улитки	[(0, 6, 'B-TYPE')]
состка в тесте	[(0, 6, 'B-TYPE'), (7, 8, 'I-TYPE'), (9, 14, 'I-TYPE')]
торт киевский	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
coocki	[(0, 6, 'B-TYPE')]
garila	[(0, 6, 'B-BRAND')]
картошко	[(0, 8, 'B-TYPE')]
печеньнье	[(0, 9, 'B-TYPE')]
ялеш	[(0, 4, 'B-TYPE')]
garnier	[(0, 7, 'B-BRAND')]
barin	[(0, 5, 'B-BRAND')]
чиббата	[(0, 7, 'B-TYPE')]
chokolate	[(0, 9, 'B-TYPE')]
авоадо	[(0, 6, 'B-TYPE')]
халапень	[(0, 8, 'B-TYPE')]
морская	[(0, 7, 'B-TYPE')]
беллини мук	[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
будочка для хот догов	[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 15, 'O'), (16, 21, 'O')]
степь ну	[(0, 5, 'B-BRAND'), (6, 8, 'B-TYPE')]
cykoria укр	[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
свек	[(0, 4, 'B-TYPE')]
жвпчка	[(0, 6, 'B-TYPE')]
резинка жевательн	[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE')]
rs	[(0, 2, 'O')]
подушки veross	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
гречнывые	[(0, 9, 'B-TYPE')]
хгрудка	[(0, 7, 'B-TYPE')]
шницеля	[(0, 7, 'B-TYPE')]
разрыхлитель пр!ст	[(0, 12, 'B-TYPE'), (13, 18, 'B-BRAND')]
хлеб на мо	[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 10, 'O')]
хрен	[(0, 4, 'B-TYPE')]
ari	[(0, 3, 'B-BRAND')]
бальзамичечкий	[(0, 14, 'B-TYPE')]
печенье сахарное	[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
крабики	[(0, 7, 'B-TYPE')]
пшено увелка	[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
applika обложк	[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
теф	[(0, 3, 'B-TYPE')]
палочеи	[(0, 7, 'B-TYPE')]
краска бля волос	[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O')]
свекрль	[(0, 7, 'B-TYPE')]
пончикч	[(0, 7, 'B-TYPE')]
уксус	[(0, 5, 'B-TYPE')]
новогодние украшения	[(0, 10, 'B-TYPE'), (11, 20, 'I-TYPE')]
творогх	[(0, 7, 'B-TYPE')]
растворимый	[(0, 11, 'B-TYPE')]
манеая	[(0, 6, 'B-TYPE')]
мяцо	[(0, 4, 'B-TYPE')]
дарниц	[(0, 6, 'B-TYPE')]
печенье,	[(0, 8, 'B-TYPE')]
фейхоа artfrui	[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
сыр с чесноком	[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 14, 'O')]
клубняша	[(0, 8, 'B-TYPE')]
кефир для окрошки	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 17, 'O')]
апельссины	[(0, 10, 'B-TYPE')]
перга	[(0, 5, 'B-TYPE')]
морса	[(0, 5, 'B-TYPE')]
каюолбаса	[(0, 9, 'B-TYPE')]
пахлавы каска	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
язысок	[(0, 6, 'B-TYPE')]
сацибели	[(0, 8, 'B-TYPE')]
щетка металлическая для посуды	[(0, 5, 'B-TYPE'), (6, 19, 'I-TYPE'), (20, 23, 'O'), (24, 30, 'O')]
кремом	[(0, 6, 'B-TYPE')]
конфеты со скидкой	[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
морковк	[(0, 7, 'B-TYPE')]
брауни	[(0, 6, 'B-TYPE')]
barrill	[(0, 7, 'B-BRAND')]
помидл	[(0, 6, 'B-TYPE')]
сельдь оке	[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
чблоки	[(0, 6, 'B-TYPE')]
редичка	[(0, 7, 'B-TYPE')]
кефирны	[(0, 7, 'B-TYPE')]
стиральные порошк	[(0, 10, 'B-TYPE'), (11, 17, 'I-TYPE')]
грлубика	[(0, 8, 'B-TYPE')]
капчености	[(0, 10, 'B-TYPE')]
протеинрвый	[(0, 11, 'B-TYPE')]
халвв	[(0, 5, 'B-TYPE')]
бумах	[(0, 5, 'B-TYPE')]
ситник	[(0, 6, 'B-TYPE')]
хлеб для сэ	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 11, 'O')]
подсол	[(0, 6, 'B-TYPE')]
яйцо с-0 добрые	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
яшоколад	[(0, 8, 'B-TYPE')]
пиленки	[(0, 7, 'B-TYPE')]
творжки	[(0, 7, 'B-TYPE')]
водка олим	[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
яогирт	[(0, 6, 'B-TYPE')]
яблочн	[(0, 6, 'B-TYPE')]
чечевицы	[(0, 8, 'B-TYPE')]
каша геркулес	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
paterra тряпка	[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
разрыхл	[(0, 7, 'B-TYPE')]
мороженое с фисташками	[(0, 9, 'B-TYPE'), (10, 11, 'O'), (12, 22, 'O')]
лимн	[(0, 4, 'B-TYPE')]
олен	[(0, 4, 'B-TYPE')]
батончт	[(0, 7, 'B-TYPE')]
cotanyi	[(0, 7, 'B-BRAND')]
тыопожный	[(0, 9, 'B-TYPE')]
орлл	[(0, 4, 'O')]
самсон купаты	[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
соевыйх	[(0, 7, 'B-TYPE')]
макароныц	[(0, 9, 'B-TYPE')]
голень куринная	[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
кетчур	[(0, 6, 'B-BRAND')]
гречки	[(0, 6, 'B-TYPE')]
порошка biol	[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
гщампиньоны	[(0, 11, 'B-TYPE')]
сендвчи	[(0, 7, 'B-TYPE')]
мясное	[(0, 6, 'B-TYPE')]
пр!ст гигиеническа	[(0, 5, 'B-BRAND'), (6, 18, 'B-TYPE')]
каььмар	[(0, 7, 'B-TYPE')]
каша в стакане	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]
белки	[(0, 5, 'B-TYPE')]
боинчики с мясом	[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O')]
горошек vitala	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
чистпя	[(0, 6, 'B-TYPE')]
для бургеров сыр	[(0, 3, 'O'), (4, 12, 'O'), (13, 16, 'B-TYPE')]
средсво для пола	[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 16, 'O')]
nemoliko	[(0, 8, 'B-BRAND')]
семушка оре	[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
яблоков	[(0, 7, 'B-TYPE')]
твооог	[(0, 6, 'B-TYPE')]
№1 кофейник	[(0, 2, 'B-BRAND'), (3, 11, 'B-TYPE')]
пекинская	[(0, 9, 'B-TYPE')]
помидор чери	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
кисель айдиго	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
сахар}	[(0, 6, 'B-TYPE')]
палопки	[(0, 7, 'B-TYPE')]
schwartau соу	[(0, 9, 'B-BRAND'), (10, 13, 'B-TYPE')]
ледене	[(0, 6, 'B-TYPE')]
семиски	[(0, 7, 'B-TYPE')]
попкорна приправ	[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND')]
малнез	[(0, 6, 'B-TYPE')]
милк	[(0, 4, 'B-TYPE')]
зернёный	[(0, 8, 'B-TYPE')]
говядина тушеная	[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
ootj azan	[(0, 4, 'O'), (5, 9, 'O')]
перецй	[(0, 6, 'B-TYPE')]
смесь для фарша	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O')]
печенье детско	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
десерт в ваф	[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 12, 'O')]
слпирожное	[(0, 10, 'B-TYPE')]
grey	[(0, 4, 'B-BRAND')]
оливки delph	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
лкк	[(0, 3, 'B-TYPE')]
салфетук	[(0, 8, 'B-TYPE')]
сиртаки	[(0, 7, 'B-TYPE')]
сухар	[(0, 5, 'B-TYPE')]
лосьон niv	[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
баранина	[(0, 8, 'B-TYPE')]
свекла тертая	[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
молопо	[(0, 6, 'B-TYPE')]
мясное пюре	[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]
пятеленка	[(0, 9, 'B-TYPE')]
энергетрк	[(0, 9, 'B-TYPE')]
прима	[(0, 5, 'B-BRAND')]
крабовые чипсы	[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]
астительное	[(0, 11, 'B-TYPE')]
клера	[(0, 5, 'B-TYPE')]
бейсболки, кепк	[(0, 10, 'B-TYPE'), (11, 15, 'I-TYPE')]
печине	[(0, 6, 'B-TYPE')]
диски bodyart	[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
щука охлажденны	[(0, 4, 'B-TYPE'), (5, 15, 'I-TYPE')]
напонитель	[(0, 10, 'B-TYPE')]
хлебная палоч	[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
белая массандра	[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND')]
мистраль куск	[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
лужайкино	[(0, 9, 'B-BRAND')]
лукумы метропол	[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
немрлоко	[(0, 8, 'B-TYPE')]
инжилайт	[(0, 8, 'B-TYPE')]
ябллоки	[(0, 7, 'B-TYPE')]
форель pingv	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
сплфетки	[(0, 8, 'B-TYPE')]
аво	[(0, 3, 'B-TYPE')]
спагкти	[(0, 7, 'B-TYPE')]
стекломой лу	[(0, 9, 'B-TYPE'), (10, 12, 'B-BRAND')]
майонез астор	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
сосески	[(0, 7, 'B-TYPE')]
халум	[(0, 5, 'B-TYPE')]
полотенцц	[(0, 9, 'B-TYPE')]
винные напитки	[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
тропичес	[(0, 8, 'B-TYPE')]
zeea	[(0, 4, 'B-BRAND')]
сыропопченая	[(0, 12, 'B-TYPE')]
печенье топлёное молоко	[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 23, 'I-TYPE')]
лапша ролтон яичная	[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 19, 'I-TYPE')]
сок с труб	[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 10, 'O')]
форе	[(0, 4, 'B-TYPE')]
салат печеночный	[(0, 5, 'B-TYPE'), (6, 16, 'I-TYPE')]
кленовы	[(0, 7, 'B-TYPE')]
кабачковые	[(0, 10, 'B-TYPE')]
огуррец	[(0, 7, 'B-TYPE')]
ппопкорн	[(0, 8, 'B-TYPE')]
эгергетик	[(0, 9, 'B-TYPE')]
зонтик гала	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
продукты по соц сертификату	[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 15, 'O'), (16, 27, 'O')]
мениралка	[(0, 9, 'B-TYPE')]
шмапиньеоны	[(0, 11, 'B-TYPE')]
жиро	[(0, 4, 'B-TYPE')]
мороженное umk	[(0, 10, 'B-TYPE'), (11, 14, 'B-BRAND')]
пиццы	[(0, 5, 'B-TYPE')]
водах	[(0, 5, 'B-TYPE')]
ааельсиновый	[(0, 12, 'B-TYPE')]
danissimo пасха	[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE')]
martika еще	[(0, 7, 'B-BRAND'), (8, 11, 'O')]
молочное коктей	[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
колбасы	[(0, 7, 'B-TYPE')]
стелька salto	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
лосьо	[(0, 5, 'B-TYPE')]
овсянка ясное солнышко	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND'), (14, 22, 'I-BRAND')]
крова	[(0, 5, 'B-TYPE')]
ггурцы	[(0, 6, 'B-TYPE')]
harries	[(0, 7, 'B-BRAND')]
вафл	[(0, 4, 'B-TYPE')]
миньай	[(0, 6, 'B-TYPE')]
женские набо	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
snimer	[(0, 6, 'B-BRAND')]
jundo капсулах	[(0, 5, 'B-BRAND'), (6, 14, 'B-TYPE')]
копченый сыр	[(0, 8, 'B-TYPE'), (9, 12, 'I-TYPE')]
стекломой idiland	[(0, 9, 'B-TYPE'), (10, 17, 'B-BRAND')]
кость	[(0, 5, 'B-TYPE')]
bohemia стаканы	[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
хлкбцы	[(0, 6, 'B-TYPE')]
перепелиный	[(0, 11, 'B-TYPE')]
рублевский блын	[(0, 10, 'B-BRAND'), (11, 15, 'B-TYPE')]
булочка для хотдога	[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]
конфеты с фисташками	[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 20, 'O')]
ботинки br	[(0, 7, 'B-TYPE'), (8, 10, 'B-BRAND')]
ломтишки	[(0, 8, 'B-TYPE')]
шашлык свиной мираторг	[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 22, 'B-BRAND')]
апельсрны	[(0, 9, 'B-TYPE')]
шатры ecos	[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
медовая	[(0, 7, 'B-TYPE')]
огурц#	[(0, 6, 'B-TYPE')]
спрей ba	[(0, 5, 'B-TYPE'), (6, 8, 'B-BRAND')]
печенье сдобное с варен	[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 17, 'O'), (18, 23, 'O')]
аррабиата	[(0, 9, 'B-TYPE')]
кисломолочные напитки	[(0, 13, 'B-TYPE'), (14, 21, 'I-TYPE')]
подовая сдобуш	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
перец зеленый	[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
сырки б ю	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 9, 'O')]
сорб	[(0, 4, 'B-TYPE')]
агуша творо	[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
ботин	[(0, 5, 'B-TYPE')]
сметаны городецки	[(0, 7, 'B-TYPE'), (8, 17, 'B-BRAND')]
моровь по корейски	[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 18, 'O')]
ряженкк	[(0, 7, 'B-TYPE')]
burn	[(0, 4, 'B-BRAND')]
жевательн	[(0, 9, 'B-TYPE')]
пшено тенд	[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
овещи	[(0, 5, 'B-TYPE')]
talosto торт	[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
свитеры, пуловер	[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
роял гала	[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
зелени	[(0, 6, 'B-TYPE')]
сметпна	[(0, 7, 'B-TYPE')]
liberhaus салатников	[(0, 9, 'B-BRAND'), (10, 20, 'B-TYPE')]
сладко баклажан	[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
грудки филе	[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]
лайм artfru	[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND')]
naturla	[(0, 7, 'B-BRAND')]
шпикачки вмк	[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]
рис для плов	[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 12, 'O')]
абрау-дюрсо розово	[(0, 11, 'B-BRAND'), (12, 18, 'B-TYPE')]
плавденный	[(0, 10, 'B-TYPE')]
нут национал	[(0, 3, 'B-TYPE'), (4, 12, 'B-BRAND')]
комацо майк	[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
вяленая наутил	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
чернослиы	[(0, 9, 'B-TYPE')]
спетан	[(0, 6, 'B-TYPE')]
сливум	[(0, 6, 'B-TYPE')]
кисель фрутонян	[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
балтика	[(0, 7, 'B-BRAND')]
кореандр	[(0, 8, 'B-TYPE')]
канцтовар	[(0, 9, 'B-TYPE')]
клубгикой	[(0, 9, 'B-TYPE')]
мыльны	[(0, 6, 'B-TYPE')]
газироаа	[(0, 8, 'B-TYPE')]
булки с кунжутом	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 16, 'O')]
степлера prof	[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]
обложка аппли	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
бумажная салфетк	[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
green	[(0, 5, 'B-BRAND')]
зашигалки	[(0, 9, 'B-TYPE')]
панама trilob	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
пороок	[(0, 6, 'B-TYPE')]
конфеты манго	[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
мука рисова	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
телятина мороженая	[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]
вода липецкая	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
приправп	[(0, 8, 'B-TYPE')]
крушка	[(0, 6, 'B-TYPE')]
трусики lovula	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
молокоб	[(0, 7, 'B-TYPE')]
пудр	[(0, 4, 'B-TYPE')]
производство морковь	[(0, 12, 'B-BRAND'), (13, 20, 'B-TYPE')]
магдарины	[(0, 9, 'B-TYPE')]
протеиновв	[(0, 10, 'B-TYPE')]
sakn	[(0, 4, 'O')]
ветчиеа	[(0, 7, 'B-TYPE')]
котоеты	[(0, 7, 'B-TYPE')]
gardix	[(0, 6, 'B-BRAND')]
заточный стан	[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]
сосиской	[(0, 8, 'B-TYPE')]
йогерт	[(0, 6, 'B-TYPE')]
фокгурт	[(0, 7, 'B-TYPE')]
нут ste	[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND')]
торта sem	[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
цитрусов	[(0, 8, 'B-TYPE')]
рултеик	[(0, 7, 'B-TYPE')]
икор	[(0, 4, 'B-TYPE')]
корнюшоны	[(0, 9, 'B-TYPE')]
ракообразн	[(0, 10, 'B-TYPE')]
лаплчка	[(0, 7, 'B-TYPE')]
мускатн	[(0, 7, 'B-TYPE')]
салат для ш	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 11, 'O')]
energy кофеварок	[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]
замороженна	[(0, 11, 'B-TYPE')]
капитан усов	[(0, 7, 'O'), (8, 12, 'O')]
пюре фруктов	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
пеканом	[(0, 7, 'B-TYPE')]
скраб lumen	[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]
напидки	[(0, 7, 'B-TYPE')]
сэнд	[(0, 4, 'B-TYPE')]
крпбовые	[(0, 8, 'B-TYPE')]
попкорр	[(0, 7, 'B-TYPE')]
рожек	[(0, 5, 'B-TYPE')]
помидоры консервированны	[(0, 8, 'B-TYPE'), (9, 24, 'I-TYPE')]
зарядное устройств	[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]
лимоны б	[(0, 6, 'B-TYPE'), (7, 8, 'B-BRAND')]
maccoffe	[(0, 8, 'B-BRAND')]
блин с мясом	[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]
клен	[(0, 4, 'B-TYPE')]
гашировка	[(0, 9, 'B-TYPE')]
яйца перепелиные	[(0, 4, 'B-TYPE'), (5, 16, 'I-TYPE')]
песенье с клюквой	[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
укропп	[(0, 6, 'B-TYPE')]
сухарика	[(0, 8, 'B-TYPE')]
огурцы маринованые	[(0, 6, 'B-TYPE'), (7, 18, 'I-TYPE')]
ультрапастеризованное э	[(0, 21, 'B-TYPE'), (22, 23, 'B-BRAND')]
паласатик	[(0, 9, 'B-TYPE')]
нут степ	[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND')]
rendi	[(0, 5, 'B-BRAND')]
камбалообразн	[(0, 13, 'B-TYPE')]
трусики huggi	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
finis	[(0, 5, 'B-BRAND')]
винный ариа	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
чебуре	[(0, 6, 'B-TYPE')]
манты	[(0, 5, 'B-TYPE')]
шампиньюны	[(0, 10, 'B-TYPE')]
ярхлеб	[(0, 6, 'B-TYPE')]
крапивой	[(0, 8, 'B-TYPE')]
кмин	[(0, 4, 'B-TYPE')]
труьочки	[(0, 8, 'B-TYPE')]
фенхел	[(0, 6, 'B-TYPE')]
опаласкиватель	[(0, 14, 'B-TYPE')]
василеостровское медовуха	[(0, 16, 'B-BRAND'), (17, 25, 'B-TYPE')]
ананасов	[(0, 8, 'B-TYPE')]
напольное покрытие	[(0, 9, 'B-TYPE'), (10, 18, 'I-TYPE')]
чернослив производств	[(0, 9, 'B-TYPE'), (10, 21, 'B-BRAND')]
хоньяк	[(0, 6, 'B-TYPE')]
хлеб отрубной	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
иогурт	[(0, 6, 'B-TYPE')]
снигерс	[(0, 7, 'B-BRAND')]
наполнитель для кл	[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 18, 'O')]
artfruit манг	[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
тажы	[(0, 4, 'B-TYPE')]
sinirgetic	[(0, 10, 'B-BRAND')]
хлеб волжский	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
kerilli	[(0, 7, 'B-BRAND')]
ломти	[(0, 5, 'B-TYPE')]
smart крас	[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
сиратки	[(0, 7, 'B-TYPE')]
круж	[(0, 4, 'B-TYPE')]
мвйноез	[(0, 7, 'B-TYPE')]
совок atmosphe	[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]
белый шок	[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
флэт	[(0, 4, 'B-TYPE')]
яцйцо	[(0, 5, 'B-TYPE')]
житный	[(0, 6, 'B-TYPE')]
вараники	[(0, 8, 'B-TYPE')]
крем-мыло camay	[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND')]
пюре доушим быстрого приготовления	[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND'), (12, 20, 'I-TYPE'), (21, 34, 'I-TYPE')]
сельдьц	[(0, 7, 'B-TYPE')]
biomax т	[(0, 6, 'B-BRAND'), (7, 8, 'B-TYPE')]
минтай филе	[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]
карбрнат	[(0, 8, 'B-TYPE')]
редика	[(0, 6, 'B-TYPE')]
маринованы	[(0, 10, 'B-TYPE')]
яблочко	[(0, 7, 'B-TYPE')]
кисловодская	[(0, 12, 'B-BRAND')]
эогурцы	[(0, 7, 'B-TYPE')]
бритвенные кассет	[(0, 10, 'B-TYPE'), (11, 17, 'I-TYPE')]
мырный	[(0, 6, 'B-TYPE')]
пастлы	[(0, 6, 'B-TYPE')]
корм влажный для ко	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 16, 'O'), (17, 19, 'O')]
ванильный парф	[(0, 9, 'B-TYPE'), (10, 14, 'B-BRAND')]
cykoria кориц	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
свитло	[(0, 6, 'B-TYPE')]
хрусteam галеты	[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]
карти	[(0, 5, 'B-TYPE')]
лососевые	[(0, 9, 'B-TYPE')]
орехов звезда	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
колбаса докторская без глютена	[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE'), (19, 22, 'O'), (23, 30, 'O')]
мужские	[(0, 7, 'B-TYPE')]
яйцох	[(0, 5, 'B-TYPE')]
палкеты	[(0, 7, 'B-TYPE')]
зубые щети	[(0, 5, 'O'), (6, 10, 'O')]
поп корн сладко соленный	[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE'), (9, 15, 'O'), (16, 24, 'O')]
отбелиаатель	[(0, 12, 'B-TYPE')]
шампанское с	[(0, 10, 'B-TYPE'), (11, 12, 'B-BRAND')]
луко	[(0, 4, 'B-TYPE')]
докторские	[(0, 10, 'B-TYPE')]
тушёнка	[(0, 7, 'B-TYPE')]
каныеты	[(0, 7, 'B-TYPE')]
махеевъ горчи	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
томат рост	[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
сметаной	[(0, 8, 'B-TYPE')]
бакет	[(0, 5, 'B-TYPE')]
пинце	[(0, 5, 'B-TYPE')]
морковка тенде	[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
фаршев	[(0, 6, 'B-TYPE')]
антисептик	[(0, 10, 'B-TYPE')]
томатна	[(0, 7, 'B-TYPE')]
свинина тушенная	[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
колбаса сырокоп	[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
тушёная говядина	[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
стерилизованный молочный	[(0, 15, 'B-TYPE'), (16, 24, 'I-TYPE')]
dionica	[(0, 7, 'B-BRAND')]
семечи	[(0, 6, 'B-TYPE')]
прочие корнеплод	[(0, 6, 'B-TYPE'), (7, 16, 'I-TYPE')]
вастэко завтраки	[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]
сахар заменитель	[(0, 5, 'B-TYPE'), (6, 16, 'I-TYPE')]
чай зеленый	[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE')]
рукеоло	[(0, 7, 'B-TYPE')]
специи доя гречки	[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
безздрожевой	[(0, 12, 'B-TYPE')]
дрожжи сырые	[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
milano	[(0, 6, 'B-BRAND')]
кисломолочные продук	[(0, 13, 'B-TYPE'), (14, 20, 'I-TYPE')]
прочий освежите	[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
янцо	[(0, 4, 'B-TYPE')]
окоросок	[(0, 8, 'B-TYPE')]
куриное бедро	[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
бэби	[(0, 4, 'B-TYPE')]
